X,Y,Z
5.99,0.004972,0.23712
5.99,0.0069031,0.23644
5.99,0.01091,0.23485
5.99,0.011094,0.23477
5.99,0.011757,0.23445
5.99,0.016398,0.23225
5.99,0.017858,0.23145
5.99,0.022078,0.22892
5.99,0.026628,0.2259
5.99,0.028188,0.2248
5.99,0.033533,0.22045
5.99,0.03525,0.21892
5.99,0.040592,0.21353
5.99,0.04163,0.21239
5.99,0.046315,0.20637
5.99,0.047271,0.20503
5.99,0.050791,0.19927
5.99,0.051647,0.19771
5.99,0.054394,0.19198
5.99,0.055113,0.1903
5.99,0.057346,0.18417
5.99,0.058041,0.18202
5.99,0.05978,0.17555
5.99,0.06033,0.17315
5.99,0.061638,0.16566
5.99,0.061944,0.1638
5.99,0.062558,0.15579
5.99,0.062675,0.15349
5.99,0.062485,0.1453
5.99,0.06233,0.14185
5.99,0.061481,0.13508
5.99,0.061042,0.13156
5.99,0.060115,0.12704
5.99,0.059108,0.12219
5.99,0.05815,0.11884
5.99,0.056661,0.11375
5.99,0.055695,0.11093
5.99,0.052745,0.10321
5.99,0.051408,0.1002
5.99,0.046636,0.090654
5.99,0.046112,0.089684
5.99,0.040765,0.080859
5.99,0.039392,0.078731
5.99,0.036213,0.074223
5.99,0.032882,0.069566
5.99,0.025781,0.060742
5.99,0.025326,0.060185
5.99,0.019219,0.053313
5.99,0.018716,0.052745
5.99,0.017906,0.051875
5.99,0.013645,0.047342
5.99,0.010443,0.044054
5.99,0.0094005,0.042967
5.99,0.0081058,0.041667
5.99,0.006342,0.039912
5.99,0.00457,0.038145
5.99,0.0035056,0.037112
5.99,0.0018622,0.036152
5.99,0,0.034907
5.99,-0.0020928,0.036337
5.99,-0.0037029,0.037306
5.99,-0.0046721,0.038249
5.99,-0.006941,0.040512
5.99,-0.0084376,0.041999
5.99,-0.011402,0.045041
5.99,-0.013381,0.047068
5.99,-0.016906,0.050797
5.99,-0.018429,0.05243
5.99,-0.019025,0.053094
5.99,-0.025619,0.060523
5.99,-0.025822,0.060762
5.99,-0.025979,0.060959
5.99,-0.0337,0.070654
5.99,-0.034438,0.071668
5.99,-0.038182,0.077084
5.99,-0.040867,0.080958
5.99,-0.041239,0.081529
5.99,-0.043356,0.085066
5.99,-0.046278,0.089978
5.99,-0.046807,0.090975
5.99,-0.04821,0.09379
5.99,-0.051475,0.10031
5.99,-0.052858,0.10353
5.99,-0.0555,0.11034
5.99,-0.058349,0.11951
5.99,-0.058621,0.12034
5.99,-0.058766,0.1209
5.99,-0.060993,0.1313
5.99,-0.061158,0.13219
5.99,-0.06144,0.13456
5.99,-0.062349,0.14214
5.99,-0.062491,0.14534
5.99,-0.062676,0.15355
5.9934,-0.23092,0.57232
5.9934,-0.22512,0.56276
5.9934,-0.22376,0.56053
5.9934,-0.22158,0.55692
5.9934,-0.21629,0.54822
5.9934,-0.20996,0.5382
5.9934,-0.20819,0.53544
5.9934,-0.20707,0.53371
5.9934,-0.19936,0.52191
5.9934,-0.19323,0.51279
5.9934,-0.18953,0.50729
5.9934,-0.1809,0.49489
5.9934,-0.17853,0.49143
5.9934,-0.16484,0.48029
5.9934,-0.16236,0.47834
5.9934,-0.14296,0.46333
5.9934,-0.1425,0.46297
5.9934,-0.14198,0.46257
5.9934,-0.12417,0.44889
5.9934,-0.11318,0.44023
5.9934,-0.10587,0.43461
5.9934,-0.09692,0.42741
5.9934,-0.086595,0.41908
5.9934,-0.074516,0.40887
5.9934,-0.070192,0.4052
5.9934,-0.066323,0.40167
5.9934,-0.056787,0.39304
5.9934,-0.048834,0.38517
5.9934,-0.046978,0.3833
5.9934,-0.041118,0.37688
5.9934,-0.038488,0.37402
5.9934,-0.038176,0.37367
5.9934,-0.03764,0.37302
5.9934,-0.032069,0.36634
5.9934,-0.028045,0.36108
5.9934,-0.027093,0.35982
5.9934,-0.025549,0.35759
5.9934,-0.02237,0.35305
5.9934,-0.019758,0.3489
5.9934,-0.018448,0.34677
5.9934,-0.017711,0.34544
5.9934,-0.013472,0.33781
5.9934,-0.01334,0.33755
5.9934,-0.012916,0.33667
5.9934,-0.01074,0.33212
5.9934,-0.010103,0.3307
5.9934,-0.00872,0.32756
5.9934,-0.0076927,0.32516
5.9934,-0.0068874,0.32325
5.9934,-0.0049623,0.31833
5.9934,-0.0049103,0.3182
5.9934,-0.0048957,0.31816
5.9934,-0.0048198,0.31796
5.9934,-0.0033438,0.31404
5.9934,-0.0031553,0.31352
5.9934,-0.0027079,0.31215
5.9934,-0.0014842,0.3097
5.9934,0,0.30705
5.9934,0.0014707,0.30964
5.9934,0.0027148,0.31216
5.9934,0.003121,0.31343
5.9934,0.0032836,0.31387
5.9934,0.0045731,0.3173
5.9934,0.0047229,0.3177
5.9934,0.00474,0.31775
5.9934,0.004769,0.31782
5.9934,0.0060806,0.3212
5.9934,0.0071631,0.32389
5.9934,0.0080209,0.32592
5.9934,0.0089276,0.32806
5.9934,0.010188,0.33091
5.9934,0.010644,0.33192
5.9934,0.012756,0.33633
5.9934,0.013277,0.33742
5.9934,0.0134,0.33766
5.9934,0.01806,0.34603
5.9934,0.018629,0.34705
5.9934,0.019592,0.34859
5.9934,0.023031,0.35401
5.9934,0.027404,0.36006
5.9934,0.029175,0.36257
5.9934,0.030081,0.36376
5.9934,0.033656,0.36813
5.9934,0.037511,0.37291
5.9934,0.039051,0.37464
5.9934,0.044049,0.38026
5.9934,0.048344,0.38468
5.9934,0.054474,0.39076
5.9934,0.058629,0.3948
5.9934,0.06888,0.4039
5.9934,0.071621,0.40638
5.9934,0.074277,0.4086
5.9934,0.087333,0.41971
5.9934,0.096087,0.42674
5.9934,0.10873,0.43681
5.9934,0.11893,0.44472
5.9934,0.12897,0.4526
5.9934,0.14247,0.46297
5.9934,0.14611,0.46582
5.9934,0.16254,0.47848
5.9934,0.16507,0.48046
5.9934,0.17855,0.49146
5.9934,0.18091,0.4949
5.9934,0.18953,0.50729
5.9934,0.19324,0.51279
5.9934,0.19936,0.52191
5.9934,0.20707,0.53371
5.9934,0.20819,0.53544
5.9934,0.20996,0.5382
5.9934,0.21629,0.54822
5.9934,0.22155,0.55686
5.9934,0.22376,0.56053
5.9934,0.22515,0.5628
5.9934,0.23091,0.57232
5.9934,0.2233,0.57232
5.9934,0.21253,0.57232
5.9934,0.20341,0.57232
5.9934,0.19529,0.57232
5.9934,0.18666,0.57232
5.9934,0.17799,0.57232
5.9934,0.16799,0.57232
5.9934,0.15944,0.57232
5.9934,0.14019,0.57232
5.9934,0.13998,0.57232
5.9934,0.13982,0.57232
5.9934,0.12211,0.57232
5.9934,0.11333,0.57232
5.9934,0.094934,0.57232
5.9934,0.08664,0.57232
5.9934,0.080972,0.57232
5.9934,0.057841,0.57232
5.9934,0.048346,0.57232
5.9934,0.028812,0.57232
5.9934,0.0074658,0.57232
5.9934,0,0.57232
5.9934,-0.0068901,0.57232
5.9934,-0.027488,0.57232
5.9934,-0.04642,0.57232
5.9934,-0.055404,0.57232
5.9934,-0.070727,0.57232
5.9934,-0.078613,0.57232
5.9934,-0.081807,0.57232
5.9934,-0.092482,0.57232
5.9934,-0.10518,0.57232
5.9934,-0.10977,0.57232
5.9934,-0.13255,0.57232
5.9934,-0.13554,0.57232
5.9934,-0.13617,0.57232
5.9934,-0.13713,0.57232
5.9934,-0.15801,0.57232
5.9934,-0.16754,0.57232
5.9934,-0.17764,0.57232
5.9934,-0.18669,0.57232
5.9934,-0.19525,0.57232
5.9934,-0.20341,0.57232
5.9934,-0.21252,0.57232
5.9934,-0.22332,0.57232
5.9934,-0.23092,0.57232
5.9934,-0.062545,0.15346
5.9934,-0.062522,0.15541
5.9934,-0.061925,0.16323
5.9934,-0.061711,0.16534
5.9934,-0.060331,0.17327
5.9934,-0.059943,0.17517
5.9934,-0.057893,0.18281
5.9934,-0.057476,0.18414
5.9934,-0.055062,0.19079
5.9934,-0.054458,0.19224
5.9934,-0.05169,0.19803
5.9934,-0.050884,0.19956
5.9934,-0.047582,0.20497
5.9934,-0.046451,0.20668
5.9934,-0.042439,0.21183
5.9934,-0.041006,0.2136
5.9934,-0.035965,0.21867
5.9934,-0.03482,0.21984
5.9934,-0.033705,0.22079
5.9934,-0.028205,0.22529
5.9934,-0.026905,0.22621
5.9934,-0.021477,0.22977
5.9934,-0.02126,0.2299
5.9934,-0.020205,0.23047
5.9934,-0.015293,0.23319
5.9934,-0.013768,0.23391
5.9934,-0.0096831,0.23569
5.9934,-0.0078934,0.23638
5.9934,-0.0041518,0.23765
5.9934,-0.0036671,0.23782
5.9934,-0.0032589,0.23794
5.9934,0,0.23864
5.9934,0.0025176,0.23807
5.9934,0.0033223,0.23792
5.9934,0.0058888,0.23708
5.9934,0.0082629,0.23624
5.9934,0.010024,0.23555
5.9934,0.014138,0.23374
5.9934,0.015182,0.23325
5.9934,0.019816,0.23068
5.9934,0.021118,0.22997
5.9934,0.021304,0.22987
5.9934,0.021494,0.22976
5.9934,0.026961,0.22617
5.9934,0.028254,0.22524
5.9934,0.033811,0.2207
5.9934,0.034822,0.21984
5.9934,0.035947,0.21869
5.9934,0.041005,0.2136
5.9934,0.042439,0.21183
5.9934,0.046451,0.20668
5.9934,0.047582,0.20497
5.9934,0.050884,0.19956
5.9934,0.05169,0.19803
5.9934,0.054458,0.19224
5.9934,0.055062,0.19079
5.9934,0.057476,0.18414
5.9934,0.057893,0.18281
5.9934,0.059943,0.17517
5.9934,0.060331,0.17327
5.9934,0.061711,0.16534
5.9934,0.061926,0.16323
5.9934,0.062522,0.15541
5.9934,0.062546,0.15348
5.9934,0.062265,0.14305
5.9934,0.062243,0.14264
5.9934,0.062173,0.14206
5.9934,0.060977,0.13249
5.9934,0.059408,0.12483
5.9934,0.058992,0.12278
5.9934,0.058655,0.1215
5.9934,0.056809,0.11519
5.9934,0.054975,0.10985
