X,Y,Z
-0.1022,0.067079,0.57232
-0.1022,0.058318,0.57232
-0.1022,0.048444,0.57232
-0.1022,0.027614,0.57232
-0.1022,0.015698,0.57232
-0.1022,0,0.57232
-0.1022,-0.01061,0.57232
-0.1022,-0.027262,0.57232
-0.1022,-0.037785,0.57232
-0.1022,-0.055467,0.57232
-0.1022,-0.066547,0.57232
-0.1022,-0.083455,0.57232
-0.1022,-0.094286,0.57232
-0.1022,-0.11288,0.57232
-0.1022,-0.12434,0.57232
-0.1022,-0.13952,0.57232
-0.1022,-0.14873,0.57232
-0.1022,-0.16831,0.57232
-0.1022,-0.17804,0.57232
-0.1022,-0.19403,0.57232
-0.1022,-0.2064,0.57232
-0.1022,-0.22289,0.57232
-0.1022,-0.2352,0.57232
-0.1022,-0.25208,0.57232
-0.1022,-0.26321,0.57232
-0.1022,-0.28386,0.57232
-0.1022,-0.2931,0.57232
-0.1022,-0.31441,0.57232
-0.1022,-0.32492,0.57232
-0.1022,-0.34447,0.57232
-0.1022,-0.35715,0.57232
-0.1022,-0.37771,0.57232
-0.1022,-0.3888,0.57232
-0.1022,-0.39981,0.57232
-0.1022,-0.41617,0.57232
-0.1022,-0.42924,0.57232
-0.086172,-0.42924,0.57232
-0.086172,-0.42924,0.56992
-0.086172,-0.42924,0.55205
-0.086172,-0.42924,0.53899
-0.086172,-0.42924,0.53567
-0.086172,-0.42924,0.51752
-0.086172,-0.42924,0.49987
-0.086172,-0.42924,0.49576
-0.086172,-0.42924,0.49233
-0.086172,-0.42924,0.46862
-0.086172,-0.42924,0.46044
-0.086172,-0.42924,0.44556
-0.086172,-0.42924,0.43456
-0.086172,-0.42924,0.42715
-0.086172,-0.42924,0.41476
-0.086172,-0.42924,0.41229
-0.086172,-0.42924,0.40092
-0.086172,-0.42917,0.39664
-0.086172,-0.4289,0.38932
-0.086172,-0.42845,0.38463
-0.086172,-0.42762,0.37827
-0.086172,-0.42693,0.37479
-0.086172,-0.42551,0.36883
-0.086172,-0.42463,0.3659
-0.086172,-0.42275,0.36031
-0.086172,-0.42165,0.35754
-0.086172,-0.41918,0.35193
-0.086172,-0.41753,0.34868
-0.086172,-0.41475,0.34362
-0.086172,-0.41223,0.33958
-0.086172,-0.40921,0.33506
-0.086172,-0.40588,0.3307
-0.086172,-0.403,0.32703
-0.086172,-0.39861,0.32217
-0.086172,-0.39618,0.31948
-0.086172,-0.39478,0.31816
-0.086172,-0.38859,0.31228
-0.086172,-0.38361,0.30814
-0.086172,-0.38015,0.30551
-0.086172,-0.37599,0.30253
-0.086172,-0.36855,0.29798
-0.086172,-0.36503,0.29577
-0.086172,-0.36257,0.29451
-0.086172,-0.35194,0.28933
-0.086172,-0.35166,0.28922
-0.086172,-0.33495,0.28316
-0.086172,-0.33448,0.28302
-0.086172,-0.31419,0.27797
-0.086172,-0.31372,0.27787
-0.086172,-0.29612,0.27431
-0.086172,-0.28514,0.27239
-0.086172,-0.27205,0.27018
-0.086172,-0.25087,0.26736
-0.086172,-0.24476,0.26654
-0.086172,-0.24286,0.26635
-0.086172,-0.21637,0.26377
-0.086172,-0.21284,0.2635
-0.086172,-0.18506,0.26155
-0.086172,-0.1828,0.26143
-0.086172,-0.17289,0.2609
-0.086172,-0.15553,0.25996
-0.086172,-0.14865,0.25963
-0.086172,-0.13384,0.25893
-0.086172,-0.10523,0.2577
-0.086172,-0.10489,0.25769
-0.086172,-0.1047,0.25768
-0.086172,-0.071435,0.25634
-0.086172,-0.06574,0.25611
-0.086172,-0.038043,0.25512
-0.086172,-0.030502,0.25483
-0.086172,-0.0057524,0.25404
-0.086172,0,0.25384
-0.086172,0.0076163,0.25411
-0.086172,0.037999,0.25509
-0.086172,0.045304,0.25537
-0.086172,0.068521,0.25624
-0.086172,0.073203,0.25641
-0.086172,0.074362,0.25645
-0.086172,0.083899,0.25683
-0.086172,0.10314,0.25761
-0.086172,0.1055,0.25772
-0.086172,0.13509,0.259
-0.086172,0.13818,0.25916
-0.086172,0.1667,0.26052
-0.086172,0.17192,0.26083
-0.086172,0.18878,0.26179
-0.086172,0.19472,0.26216
-0.086172,0.21082,0.26336
-0.086172,0.21599,0.26373
-0.086172,0.21841,0.26395
-0.086172,0.24262,0.2663
-0.086172,0.24751,0.2669
-0.086172,0.26687,0.2694
-0.086172,0.28445,0.27225
-0.086172,0.2897,0.27311
-0.086172,0.2938,0.27392
-0.086172,0.30812,0.27669
-0.086172,0.31471,0.27815
-0.086172,0.32963,0.28166
-0.086172,0.33369,0.28286
-0.086172,0.3441,0.28625
-0.086172,0.34744,0.28758
-0.086172,0.35464,0.29053
-0.086172,0.36271,0.29456
-0.086172,0.36428,0.29534
-0.086172,0.36691,0.29691
-0.086172,0.37346,0.3008
-0.086172,0.37958,0.30514
-0.086172,0.38205,0.30689
-0.086172,0.38407,0.30854
-0.086172,0.3893,0.3129
-0.086172,0.39204,0.31552
-0.086172,0.39638,0.31971
-0.086172,0.40144,0.32531
-0.086172,0.40309,0.32712
-0.086172,0.40715,0.33234
-0.086172,0.40917,0.33494
-0.086172,0.41034,0.33673
-0.086172,0.41393,0.34221
-0.086172,0.41819,0.34994
-0.086172,0.41836,0.35024
-0.086172,0.42163,0.35757
-0.086172,0.42232,0.3592
-0.086172,0.42452,0.36559
-0.086172,0.42546,0.36864
-0.086172,0.42689,0.37458
-0.086172,0.42759,0.37808
-0.086172,0.42845,0.38454
-0.086172,0.42892,0.38966
-0.086172,0.42911,0.3946
-0.086172,0.42924,0.40257
-0.086172,0.42924,0.41199
-0.086172,0.42924,0.41483
-0.086172,0.42924,0.42821
-0.086172,0.42924,0.43356
-0.086172,0.42924,0.45023
-0.086172,0.42924,0.4509
-0.086172,0.42924,0.45156
-0.086172,0.42924,0.47484
-0.086172,0.42924,0.4792
-0.086172,0.42924,0.49947
-0.086172,0.42924,0.50646
-0.086172,0.42924,0.52852
-0.086172,0.42924,0.52925
-0.086172,0.42924,0.55051
-0.086172,0.42924,0.57191
-0.086172,0.42924,0.57232
-0.086172,0.42689,0.57232
-0.086172,0.40188,0.57232
-0.086172,0.39051,0.57232
-0.086172,0.37457,0.57232
-0.086172,0.36079,0.57232
-0.086172,0.35024,0.57232
-0.086172,0.33532,0.57232
-0.086172,0.32271,0.57232
-0.086172,0.30889,0.57232
-0.086172,0.29399,0.57232
-0.086172,0.28678,0.57232
-0.086172,0.2665,0.57232
-0.086172,0.24743,0.57232
-0.086172,0.24214,0.57232
-0.086172,0.21937,0.57232
-0.086172,0.21382,0.57232
-0.086172,0.21307,0.57232
-0.086172,0.18494,0.57232
-0.086172,0.1835,0.57232
-0.086172,0.15571,0.57232
-0.086172,0.15035,0.57232
-0.086172,0.12686,0.57232
-0.086172,0.10732,0.57232
-0.086172,0.099629,0.57232
-0.086172,0.082063,0.57232
-0.086172,0.07642,0.57232
-0.086172,0.072707,0.57232
-0.086172,0.056485,0.57232
-0.086172,0.0326,0.57232
-0.086172,0.028512,0.57232
-0.086172,0.0021168,0.57232
-0.086172,0,0.57232
-0.086172,-0.00027471,0.57232
-0.086172,-0.025401,0.57232
-0.086172,-0.025639,0.57232
-0.086172,-0.029565,0.57232
-0.086172,-0.050861,0.57232
-0.086172,-0.052215,0.57232
-0.086172,-0.063226,0.57232
-0.086172,-0.078067,0.57232
-0.086172,-0.086882,0.57232
-0.086172,-0.1032,0.57232
-0.086172,-0.10644,0.57232
-0.086172,-0.11946,0.57232
-0.086172,-0.13138,0.57232
-0.086172,-0.13851,0.57232
-0.086172,-0.15291,0.57232
-0.086172,-0.15945,0.57232
-0.086172,-0.18054,0.57232
-0.086172,-0.18275,0.57232
-0.086172,-0.20698,0.57232
-0.086172,-0.21217,0.57232
-0.086172,-0.21232,0.57232
-0.086172,-0.21762,0.57232
-0.086172,-0.24113,0.57232
-0.086172,-0.24184,0.57232
-0.086172,-0.24411,0.57232
-0.086172,-0.26827,0.57232
-0.086172,-0.27508,0.57232
-0.086172,-0.29743,0.57232
-0.086172,-0.30321,0.57232
-0.086172,-0.32484,0.57232
-0.086172,-0.32799,0.57232
-0.086172,-0.32889,0.57232
-0.086172,-0.35767,0.57232
-0.086172,-0.35852,0.57232
-0.086172,-0.36122,0.57232
-0.086172,-0.38385,0.57232
-0.086172,-0.39302,0.57232
-0.086172,-0.40539,0.57232
-0.086172,-0.42221,0.57232
-0.086172,-0.42924,0.57232
-0.07014,-0.42924,0.57232
-0.07014,-0.42924,0.55761
-0.07014,-0.42924,0.54232
-0.07014,-0.42924,0.52001
-0.07014,-0.42924,0.51556
-0.07014,-0.42924,0.51219
-0.07014,-0.42924,0.49289
-0.07014,-0.42924,0.47214
-0.07014,-0.42924,0.47105
-0.07014,-0.42924,0.4684
-0.07014,-0.42924,0.44943
-0.07014,-0.42924,0.44257
-0.07014,-0.42924,0.43068
-0.07014,-0.42924,0.41855
-0.07014,-0.42924,0.41613
-0.07014,-0.42924,0.41193
-0.07014,-0.42924,0.40366
-0.07014,-0.4292,0.39615
-0.07014,-0.42906,0.38998
-0.07014,-0.42871,0.38505
-0.07014,-0.42794,0.37854
-0.07014,-0.42736,0.37529
-0.07014,-0.42595,0.36878
-0.07014,-0.42525,0.36628
-0.07014,-0.4233,0.36011
-0.07014,-0.42249,0.35794
-0.07014,-0.4201,0.35212
-0.07014,-0.41929,0.35044
-0.07014,-0.41709,0.34596
-0.07014,-0.41353,0.33973
-0.07014,-0.41333,0.33937
-0.07014,-0.41306,0.33897
-0.07014,-0.40858,0.33233
-0.07014,-0.40445,0.32709
-0.07014,-0.40285,0.32507
-0.07014,-0.40078,0.32279
-0.07014,-0.39673,0.31826
-0.07014,-0.39179,0.31344
-0.07014,-0.3898,0.31152
-0.07014,-0.38233,0.30539
-0.07014,-0.38134,0.30458
-0.07014,-0.38,0.30362
-0.07014,-0.37186,0.29807
-0.07014,-0.36835,0.29592
-0.07014,-0.35791,0.29039
-0.07014,-0.35735,0.29009
-0.07014,-0.35714,0.28999
-0.07014,-0.35586,0.28948
-0.07014,-0.34197,0.2838
-0.07014,-0.33373,0.28128
-0.07014,-0.32509,0.27879
-0.07014,-0.31882,0.27739
-0.07014,-0.30948,0.27527
-0.07014,-0.30257,0.27388
-0.07014,-0.29153,0.27172
-0.07014,-0.27249,0.26854
-0.07014,-0.27088,0.26827
-0.07014,-0.26949,0.26807
-0.07014,-0.24809,0.26521
-0.07014,-0.2371,0.26403
-0.07014,-0.22029,0.26239
-0.07014,-0.20661,0.26131
-0.07014,-0.18954,0.26011
-0.07014,-0.17179,0.25906
-0.07014,-0.15961,0.2584
-0.07014,-0.1442,0.25766
-0.07014,-0.13564,0.25722
-0.07014,-0.12841,0.25686
-0.07014,-0.11105,0.25607
-0.07014,-0.088616,0.25506
-0.07014,-0.080535,0.25473
-0.07014,-0.056693,0.25374
-0.07014,-0.051986,0.25357
-0.07014,-0.029335,0.2527
-0.07014,-0.024653,0.25252
-0.07014,-0.021342,0.2524
-0.07014,0,0.25167
-0.07014,0.015079,0.25219
-0.07014,0.027599,0.25263
-0.07014,0.037759,0.25303
-0.07014,0.054654,0.25368
-0.07014,0.063945,0.25403
-0.07014,0.088641,0.2551
-0.07014,0.10042,0.25557
-0.07014,0.12207,0.25659
-0.07014,0.12967,0.25692
-0.07014,0.15059,0.25796
-0.07014,0.16092,0.25846
-0.07014,0.17648,0.25936
-0.07014,0.18947,0.2601
-0.07014,0.19861,0.26073
-0.07014,0.21324,0.26179
-0.07014,0.231,0.26339
-0.07014,0.23622,0.2639
-0.07014,0.26378,0.26728
-0.07014,0.26569,0.26751
-0.07014,0.26633,0.26761
-0.07014,0.28789,0.27106
-0.07014,0.30377,0.27412
-0.07014,0.30688,0.27472
-0.07014,0.31037,0.2755
-0.07014,0.32393,0.2785
-0.07014,0.33521,0.28169
-0.07014,0.33982,0.28305
-0.07014,0.3487,0.28639
-0.07014,0.35358,0.28833
-0.07014,0.3591,0.29106
-0.07014,0.36483,0.29388
-0.07014,0.37346,0.29907
-0.07014,0.37386,0.29932
-0.07014,0.37765,0.30201
-0.07014,0.38225,0.30526
-0.07014,0.38257,0.30549
-0.07014,0.38286,0.30573
-0.07014,0.39045,0.3121
-0.07014,0.39096,0.3126
-0.07014,0.39543,0.31699
-0.07014,0.39748,0.319
-0.07014,0.39783,0.3194
-0.07014,0.40331,0.32558
-0.07014,0.40609,0.32915
-0.07014,0.4089,0.33274
-0.07014,0.41277,0.33856
-0.07014,0.41342,0.33954
-0.07014,0.41373,0.34009
-0.07014,0.41708,0.34594
-0.07014,0.41932,0.35051
-0.07014,0.42007,0.35205
-0.07014,0.42248,0.35794
-0.07014,0.4233,0.36009
-0.07014,0.42525,0.36628
-0.07014,0.42594,0.36877
-0.07014,0.42732,0.37506
-0.07014,0.42793,0.3784
-0.07014,0.4287,0.38504
-0.07014,0.42903,0.3893
-0.07014,0.42918,0.39636
-0.07014,0.42924,0.40128
-0.07014,0.42924,0.41513
-0.07014,0.42924,0.41538
-0.07014,0.42924,0.41561
